empnumber,first,last,display,email,samaccountname,street,city,state,zip,country,phone,Company,Department
357453,Larry,Lane,Larry Lane,Larry.Lane@contoso.com,357453,722 Academy Street,Wilkes Barre,PA,18702,US,5559889875,Contoso,Strategic Sourcing
265173,Ella,Holder,Ella Holder,Ella.Holder@contoso.com,265173,222 Bay Street,Lorain,OH,44052,US,5557022713,Contoso,Strategic Marketing
397323,Anika,Lawrence,Anika Lawrence,Anika.Lawrence@contoso.com,397323,64 Circle Drive,New Britain,CT,6051,US,5557902408,Contoso,Data Entry
254303,Braydon,Cherry,Braydon Cherry,Braydon.Cherry@contoso.com,254303,859 Riverside Drive,Deland,FL,32720,US,5556424835,Contoso,Telesales
910539,Kaelyn,Morrison,Kaelyn Morrison,Kaelyn.Morrison@contoso.com,910539,506 College Street,Flushing,NY,11354,US,5552577585,Contoso,Recruitment
979660,Raul,Hancock,Raul Hancock,Raul.Hancock@contoso.com,979660,64 Circle Drive,New Britain,CT,6051,US,5556063472,Contoso,Sales
185436,Kate,Mendez,Kate Mendez,Kate.Mendez@contoso.com,185436,104 Canterbury Court,Pickerington,OH,43147,US,5559149527,Contoso,Information Technology
458436,Benjamin,Solomon,Benjamin Solomon,Benjamin.Solomon@contoso.com,458436,461 Orchard Street,Windsor Mill,MD,21244,US,5551798313,Contoso,Research and Development
437598,Brendon,Strong,Brendon Strong,Brendon.Strong@contoso.com,437598,553 B Street,Freehold,NJ,7728,US,5556886608,Contoso,Marketing
577862,Fatima,Weeks,Fatima Weeks,Fatima.Weeks@contoso.com,577862,683 River Street,Opa Locka,FL,33054,US,5559875996,Contoso,Research and Development
200709,Kaylee,Mcintyre,Kaylee Mcintyre,Kaylee.Mcintyre@contoso.com,200709,683 River Street,Opa Locka,FL,33054,US,5558001819,Contoso,Finance
736417,Holly,Rivera,Holly Rivera,Holly.Rivera@contoso.com,736417,211 Sycamore Lane,Hanover Park,IL,60133,US,5551902933,Contoso,Public Relations
441734,Daphne,Cole,Daphne Cole,Daphne.Cole@contoso.com,441734,683 River Street,Opa Locka,FL,33054,US,5559832105,Contoso,Information Technology
377922,Virginia,Lawson,Virginia Lawson,Virginia.Lawson@contoso.com,377922,34 Woodland Avenue,Henrico,VA,23228,US,5552689967,Contoso,Logistics
130812,Khloe,Castro,Khloe Castro,Khloe.Castro@contoso.com,130812,211 Sycamore Lane,Hanover Park,IL,60133,US,5557218554,Contoso,Sales
855803,Warren,Delgado,Warren Delgado,Warren.Delgado@contoso.com,855803,64 Circle Drive,New Britain,CT,6051,US,5559887385,Contoso,Account Management
891722,Allison,Dixon,Allison Dixon,Allison.Dixon@contoso.com,891722,222 Bay Street,Lorain,OH,44052,US,5555220009,Contoso,Recruitment
865398,Dashawn,Romero,Dashawn Romero,Dashawn.Romero@contoso.com,865398,683 River Street,Opa Locka,FL,33054,US,5552278378,Contoso,Data Entry
417634,Whitney,Collins,Whitney Collins,Whitney.Collins@contoso.com,417634,683 River Street,Opa Locka,FL,33054,US,5559707589,Contoso,Accounting
168521,Paxton,Sherman,Paxton Sherman,Paxton.Sherman@contoso.com,168521,34 Woodland Avenue,Henrico,VA,23228,US,5558263518,Contoso,Public Relations
396060,Angeline,Fox,Angeline Fox,Angeline.Fox@contoso.com,396060,994 Fairview Avenue,Lexington,NC,27292,US,5553741308,Contoso,Account Management
300853,Ray,Obrien,Ray Obrien,Ray.Obrien@contoso.com,300853,653 Henry Street,Highland Park,IL,60035,US,5552972843,Contoso,Research and Development
984972,Hudson,Madden,Hudson Madden,Hudson.Madden@contoso.com,984972,722 Academy Street,Wilkes Barre,PA,18702,US,5555586369,Contoso,Marketing
629829,Madalynn,Weaver,Madalynn Weaver,Madalynn.Weaver@contoso.com,629829,859 Riverside Drive,Deland,FL,32720,US,5555363302,Contoso,IT Support
516225,Shyanne,Dominguez,Shyanne Dominguez,Shyanne.Dominguez@contoso.com,516225,722 Academy Street,Wilkes Barre,PA,18702,US,5554241244,Contoso,IT Support
939690,Mylie,Parks,Mylie Parks,Mylie.Parks@contoso.com,939690,461 Orchard Street,Windsor Mill,MD,21244,US,5555381764,Contoso,Strategic Sourcing
736404,Ronald,Wiggins,Ronald Wiggins,Ronald.Wiggins@contoso.com,736404,104 Canterbury Court,Pickerington,OH,43147,US,5559689273,Contoso,Payroll
870672,Leslie,Matthews,Leslie Matthews,Leslie.Matthews@contoso.com,870672,553 B Street,Freehold,NJ,7728,US,5558478109,Contoso,Payroll
686443,Lucas,Shelton,Lucas Shelton,Lucas.Shelton@contoso.com,686443,733 Church Street South,Revere,MA,2151,US,5554176125,Contoso,Account Management
661590,Tripp,Jimenez,Tripp Jimenez,Tripp.Jimenez@contoso.com,661590,358 5th Street North,West Chester,PA,19380,US,5553034693,Contoso,Strategic Marketing
325058,Declan,Foster,Declan Foster,Declan.Foster@contoso.com,325058,553 B Street,Freehold,NJ,7728,US,5558044024,Contoso,Customer Service
991068,Maximus,Moyer,Maximus Moyer,Maximus.Moyer@contoso.com,991068,104 Canterbury Court,Pickerington,OH,43147,US,5559261090,Contoso,Marketing
875017,Eileen,Morse,Eileen Morse,Eileen.Morse@contoso.com,875017,501 Church Street North,Danville,VA,24540,US,5552855836,Contoso,Recruitment
728715,Slade,Schultz,Slade Schultz,Slade.Schultz@contoso.com,728715,994 Fairview Avenue,Lexington,NC,27292,US,5553823147,Contoso,Advertising Market Research
875904,Aaliyah,Poole,Aaliyah Poole,Aaliyah.Poole@contoso.com,875904,211 Sycamore Lane,Hanover Park,IL,60133,US,5558086759,Contoso,Account Management
633673,Todd,Aguilar,Todd Aguilar,Todd.Aguilar@contoso.com,633673,683 River Street,Opa Locka,FL,33054,US,5556906187,Contoso,Accounting
167852,Diana,Zhang,Diana Zhang,Diana.Zhang@contoso.com,167852,222 Bay Street,Lorain,OH,44052,US,5557674828,Contoso,Payroll
662913,Kyle,Ruiz,Kyle Ruiz,Kyle.Ruiz@contoso.com,662913,211 Sycamore Lane,Hanover Park,IL,60133,US,5552720739,Contoso,Information Technology
593753,Yasmin,Hampton,Yasmin Hampton,Yasmin.Hampton@contoso.com,593753,322 Grant Avenue,Martinsville,VA,24112,US,5558005630,Contoso,Marketing
261504,Marianna,Decker,Marianna Decker,Marianna.Decker@contoso.com,261504,501 Church Street North,Danville,VA,24540,US,5554152113,Contoso,Information Technology
117927,Valentino,Benton,Valentino Benton,Valentino.Benton@contoso.com,117927,553 B Street,Freehold,NJ,7728,US,5559004517,Contoso,Corporate Communications
377688,Luciano,Pruitt,Luciano Pruitt,Luciano.Pruitt@contoso.com,377688,859 Riverside Drive,Deland,FL,32720,US,5551693295,Contoso,Strategic Information Systems
510745,Hamza,Tate,Hamza Tate,Hamza.Tate@contoso.com,510745,104 Canterbury Court,Pickerington,OH,43147,US,5559215934,Contoso,Recruitment
830014,Taniya,Ritter,Taniya Ritter,Taniya.Ritter@contoso.com,830014,112 Front Street,San Lorenzo,CA,94580,US,5559960637,Contoso,Finance
377259,Brycen,Pitts,Brycen Pitts,Brycen.Pitts@contoso.com,377259,683 River Street,Opa Locka,FL,33054,US,5558262775,Contoso,Research and Development
711510,Trinity,Clayton,Trinity Clayton,Trinity.Clayton@contoso.com,711510,683 River Street,Opa Locka,FL,33054,US,5556295618,Contoso,Training
832550,Jamal,Quinn,Jamal Quinn,Jamal.Quinn@contoso.com,832550,358 5th Street North,West Chester,PA,19380,US,5551007728,Contoso,Human Resource
903916,Lea,Holt,Lea Holt,Lea.Holt@contoso.com,903916,501 Church Street North,Danville,VA,24540,US,5556056466,Contoso,Payroll
753327,Cortez,Young,Cortez Young,Cortez.Young@contoso.com,753327,64 Circle Drive,New Britain,CT,6051,US,5552867891,Contoso,Account Management
627032,Emiliano,Glass,Emiliano Glass,Emiliano.Glass@contoso.com,627032,506 College Street,Flushing,NY,11354,US,5552545680,Contoso,Operations
668252,Romeo,Duarte,Romeo Duarte,Romeo.Duarte@contoso.com,668252,64 Circle Drive,New Britain,CT,6051,US,5558465493,Contoso,Research and Development
954684,Gideon,Robbins,Gideon Robbins,Gideon.Robbins@contoso.com,954684,553 B Street,Freehold,NJ,7728,US,5554306309,Contoso,Data Entry
828909,Moriah,Garcia,Moriah Garcia,Moriah.Garcia@contoso.com,828909,859 Riverside Drive,Deland,FL,32720,US,5557172525,Contoso,Information Technology
381888,Ayden,Downs,Ayden Downs,Ayden.Downs@contoso.com,381888,859 Riverside Drive,Deland,FL,32720,US,5556790126,Contoso,Training
355570,Carter,Flynn,Carter Flynn,Carter.Flynn@contoso.com,355570,112 Front Street,San Lorenzo,CA,94580,US,5557829107,Contoso,Finance
939110,Brooke,Sanford,Brooke Sanford,Brooke.Sanford@contoso.com,939110,381 Lake Avenue,Ankeny,IA,50023,US,5556149018,Contoso,Marketing
743604,Jamari,Wagner,Jamari Wagner,Jamari.Wagner@contoso.com,743604,994 Fairview Avenue,Lexington,NC,27292,US,5556518495,Contoso,Training
745091,Odin,Riddle,Odin Riddle,Odin.Riddle@contoso.com,745091,211 Sycamore Lane,Hanover Park,IL,60133,US,5552372597,Contoso,Strategic Marketing
772365,Arielle,Compton,Arielle Compton,Arielle.Compton@contoso.com,772365,722 Academy Street,Wilkes Barre,PA,18702,US,5554540831,Contoso,Purchasing
714284,Kaitlin,David,Kaitlin David,Kaitlin.David@contoso.com,714284,653 Henry Street,Highland Park,IL,60035,US,5558533580,Contoso,Account Management
388576,Josie,Finley,Josie Finley,Josie.Finley@contoso.com,388576,683 River Street,Opa Locka,FL,33054,US,5555728562,Contoso,Finance
909288,Joy,Castaneda,Joy Castaneda,Joy.Castaneda@contoso.com,909288,501 Church Street North,Danville,VA,24540,US,5557592426,Contoso,Strategic Sourcing
229896,Miranda,Yu,Miranda Yu,Miranda.Yu@contoso.com,229896,501 Church Street North,Danville,VA,24540,US,5552162242,Contoso,Research and Development
832812,Korbin,Huber,Korbin Huber,Korbin.Huber@contoso.com,832812,501 Church Street North,Danville,VA,24540,US,5554676982,Contoso,Marketing
269872,Kasen,Green,Kasen Green,Kasen.Green@contoso.com,269872,381 Lake Avenue,Ankeny,IA,50023,US,5553021168,Contoso,Training
318510,Giuliana,Holmes,Giuliana Holmes,Giuliana.Holmes@contoso.com,318510,211 Sycamore Lane,Hanover Park,IL,60133,US,5557642845,Contoso,Payroll
396580,Aiyana,Rubio,Aiyana Rubio,Aiyana.Rubio@contoso.com,396580,506 College Street,Flushing,NY,11354,US,5557023284,Contoso,Human Resource
139717,Marc,Ponce,Marc Ponce,Marc.Ponce@contoso.com,139717,553 B Street,Freehold,NJ,7728,US,5554434875,Contoso,Strategic Information Systems
934582,Chad,Carney,Chad Carney,Chad.Carney@contoso.com,934582,64 Circle Drive,New Britain,CT,6051,US,5559921239,Contoso,Operations
517292,Macy,Dickson,Macy Dickson,Macy.Dickson@contoso.com,517292,653 Henry Street,Highland Park,IL,60035,US,5558330197,Contoso,Human Resource
694788,Adelyn,Drake,Adelyn Drake,Adelyn.Drake@contoso.com,694788,64 Circle Drive,New Britain,CT,6051,US,5555392748,Contoso,Human Resource
520323,Ashlee,Dodson,Ashlee Dodson,Ashlee.Dodson@contoso.com,520323,683 River Street,Opa Locka,FL,33054,US,5552465597,Contoso,Telesales
869028,Sherlyn,Bird,Sherlyn Bird,Sherlyn.Bird@contoso.com,869028,683 River Street,Opa Locka,FL,33054,US,5551818690,Contoso,Payroll
136092,Jayson,Brandt,Jayson Brandt,Jayson.Brandt@contoso.com,136092,381 Lake Avenue,Ankeny,IA,50023,US,5554701379,Contoso,Account Management
752460,Corey,Morton,Corey Morton,Corey.Morton@contoso.com,752460,34 Woodland Avenue,Henrico,VA,23228,US,5553454624,Contoso,Marketing
756378,Kolby,Leon,Kolby Leon,Kolby.Leon@contoso.com,756378,211 Sycamore Lane,Hanover Park,IL,60133,US,5553309589,Contoso,Corporate Communications
460375,Janessa,Berg,Janessa Berg,Janessa.Berg@contoso.com,460375,859 Riverside Drive,Deland,FL,32720,US,5553701563,Contoso,Customer Service
620687,Rhett,Little,Rhett Little,Rhett.Little@contoso.com,620687,358 5th Street North,West Chester,PA,19380,US,5556231218,Contoso,Purchasing
143055,Roy,Roberson,Roy Roberson,Roy.Roberson@contoso.com,143055,501 Church Street North,Danville,VA,24540,US,5554220756,Contoso,Sales
279972,Tania,Page,Tania Page,Tania.Page@contoso.com,279972,322 Grant Avenue,Martinsville,VA,24112,US,5558148309,Contoso,Training
554778,Lilah,Hoffman,Lilah Hoffman,Lilah.Hoffman@contoso.com,554778,683 River Street,Opa Locka,FL,33054,US,5557083697,Contoso,Advertising Market Research
178524,Kaley,Patel,Kaley Patel,Kaley.Patel@contoso.com,178524,722 Academy Street,Wilkes Barre,PA,18702,US,5554230028,Contoso,Telesales
983950,Christian,Byrd,Christian Byrd,Christian.Byrd@contoso.com,983950,506 College Street,Flushing,NY,11354,US,5557671136,Contoso,Account Management
199584,Ruth,Sexton,Ruth Sexton,Ruth.Sexton@contoso.com,199584,381 Lake Avenue,Ankeny,IA,50023,US,5553978306,Contoso,Human Resource
750816,Danny,Yang,Danny Yang,Danny.Yang@contoso.com,750816,859 Riverside Drive,Deland,FL,32720,US,5552764474,Contoso,Corporate Communications
764462,Bryson,Reese,Bryson Reese,Bryson.Reese@contoso.com,764462,722 Academy Street,Wilkes Barre,PA,18702,US,5556181601,Contoso,Telesales
926674,Raiden,Greene,Raiden Greene,Raiden.Greene@contoso.com,926674,506 College Street,Flushing,NY,11354,US,5557241580,Contoso,Information Technology
687794,Noe,Spencer,Noe Spencer,Noe.Spencer@contoso.com,687794,553 B Street,Freehold,NJ,7728,US,5555189842,Contoso,Operations
718468,Terry,Lynch,Terry Lynch,Terry.Lynch@contoso.com,718468,316 Clinton Street,Gallatin,TN,37066,US,5552292682,Contoso,Telesales
427506,Joey,Duke,Joey Duke,Joey.Duke@contoso.com,427506,553 B Street,Freehold,NJ,7728,US,5555012531,Contoso,Data Entry
428163,Spencer,Dunn,Spencer Dunn,Spencer.Dunn@contoso.com,428163,506 College Street,Flushing,NY,11354,US,5557327778,Contoso,Operations
375044,Eleanor,Woods,Eleanor Woods,Eleanor.Woods@contoso.com,375044,501 Church Street North,Danville,VA,24540,US,5555873807,Contoso,Research and Development
441634,Leticia,Douglas,Leticia Douglas,Leticia.Douglas@contoso.com,441634,506 College Street,Flushing,NY,11354,US,5556685508,Contoso,Strategic Sourcing
336717,Shania,Harrell,Shania Harrell,Shania.Harrell@contoso.com,336717,358 5th Street North,West Chester,PA,19380,US,5553635234,Contoso,Purchasing
548598,Casey,Sutton,Casey Sutton,Casey.Sutton@contoso.com,548598,653 Henry Street,Highland Park,IL,60035,US,5553079250,Contoso,Operations
990458,Konnor,Maynard,Konnor Maynard,Konnor.Maynard@contoso.com,990458,322 Grant Avenue,Martinsville,VA,24112,US,5553429291,Contoso,Data Entry
238236,Kamron,Hardin,Kamron Hardin,Kamron.Hardin@contoso.com,238236,64 Circle Drive,New Britain,CT,6051,US,5559276994,Contoso,Strategic Sourcing
450986,Ashley,Kline,Ashley Kline,Ashley.Kline@contoso.com,450986,553 B Street,Freehold,NJ,7728,US,5554288933,Contoso,Payroll
982400,Antoine,Fitzpatrick,Antoine Fitzpatrick,Antoine.Fitzpatrick@contoso.com,982400,322 Grant Avenue,Martinsville,VA,24112,US,5552359939,Contoso,Payroll
286919,Darien,Singleton,Darien Singleton,Darien.Singleton@contoso.com,286919,358 5th Street North,West Chester,PA,19380,US,5551077597,Contoso,Research and Development
918121,Shyla,Hubbard,Shyla Hubbard,Shyla.Hubbard@contoso.com,918121,104 Canterbury Court,Pickerington,OH,43147,US,5554018883,Contoso,Accounting
394762,Madison,Mcdaniel,Madison Mcdaniel,Madison.Mcdaniel@contoso.com,394762,316 Clinton Street,Gallatin,TN,37066,US,5554112509,Contoso,Sales
837107,Sienna,Hinton,Sienna Hinton,Sienna.Hinton@contoso.com,837107,358 5th Street North,West Chester,PA,19380,US,5559035100,Contoso,Marketing
696688,Tomas,Skinner,Tomas Skinner,Tomas.Skinner@contoso.com,696688,994 Fairview Avenue,Lexington,NC,27292,US,5557823897,Contoso,Logistics
518236,Julius,Adams,Julius Adams,Julius.Adams@contoso.com,518236,994 Fairview Avenue,Lexington,NC,27292,US,5558955336,Contoso,Telesales
579679,Matthias,Rosario,Matthias Rosario,Matthias.Rosario@contoso.com,579679,553 B Street,Freehold,NJ,7728,US,5558292396,Contoso,Accounting
192004,Marlie,Mullins,Marlie Mullins,Marlie.Mullins@contoso.com,192004,64 Circle Drive,New Britain,CT,6051,US,5554145972,Contoso,Training
782866,Gunner,Krause,Gunner Krause,Gunner.Krause@contoso.com,782866,316 Clinton Street,Gallatin,TN,37066,US,5557780560,Contoso,Purchasing
591657,Cheyanne,Gallegos,Cheyanne Gallegos,Cheyanne.Gallegos@contoso.com,591657,322 Grant Avenue,Martinsville,VA,24112,US,5559377454,Contoso,Account Management
921098,Dalia,Scott,Dalia Scott,Dalia.Scott@contoso.com,921098,683 River Street,Opa Locka,FL,33054,US,5559339568,Contoso,Information Technology
900249,Pamela,Yates,Pamela Yates,Pamela.Yates@contoso.com,900249,316 Clinton Street,Gallatin,TN,37066,US,5554500383,Contoso,Purchasing
471335,Keely,Lyons,Keely Lyons,Keely.Lyons@contoso.com,471335,501 Church Street North,Danville,VA,24540,US,5557003821,Contoso,Payroll
123796,Stacy,Friedman,Stacy Friedman,Stacy.Friedman@contoso.com,123796,994 Fairview Avenue,Lexington,NC,27292,US,5554563475,Contoso,Sales
179471,Jaiden,Bailey,Jaiden Bailey,Jaiden.Bailey@contoso.com,179471,461 Orchard Street,Windsor Mill,MD,21244,US,5559230834,Contoso,Accounting
477398,Destiny,Buckley,Destiny Buckley,Destiny.Buckley@contoso.com,477398,506 College Street,Flushing,NY,11354,US,5553365547,Contoso,Strategic Sourcing
288711,Michael,Navarro,Michael Navarro,Michael.Navarro@contoso.com,288711,722 Academy Street,Wilkes Barre,PA,18702,US,5551728868,Contoso,IT Support
447007,Erica,Roberts,Erica Roberts,Erica.Roberts@contoso.com,447007,501 Church Street North,Danville,VA,24540,US,5553388322,Contoso,Marketing
802473,Hannah,Moreno,Hannah Moreno,Hannah.Moreno@contoso.com,802473,733 Church Street South,Revere,MA,2151,US,5558546271,Contoso,Accounting
750831,Charlize,Archer,Charlize Archer,Charlize.Archer@contoso.com,750831,211 Sycamore Lane,Hanover Park,IL,60133,US,5554254222,Contoso,Logistics
988977,Landen,Brennan,Landen Brennan,Landen.Brennan@contoso.com,988977,222 Bay Street,Lorain,OH,44052,US,5554457018,Contoso,Telesales
408503,Giselle,Houston,Giselle Houston,Giselle.Houston@contoso.com,408503,506 College Street,Flushing,NY,11354,US,5557794909,Contoso,Marketing
673772,Davion,Francis,Davion Francis,Davion.Francis@contoso.com,673772,859 Riverside Drive,Deland,FL,32720,US,5557340308,Contoso,Data Entry
533159,Anaya,Bradford,Anaya Bradford,Anaya.Bradford@contoso.com,533159,34 Woodland Avenue,Henrico,VA,23228,US,5551696565,Contoso,Advertising Market Research
137373,Pranav,Leonard,Pranav Leonard,Pranav.Leonard@contoso.com,137373,112 Front Street,San Lorenzo,CA,94580,US,5553206109,Contoso,Corporate Communications
231801,Everett,Clark,Everett Clark,Everett.Clark@contoso.com,231801,316 Clinton Street,Gallatin,TN,37066,US,5551650548,Contoso,Recruitment
168855,Erika,Bradshaw,Erika Bradshaw,Erika.Bradshaw@contoso.com,168855,316 Clinton Street,Gallatin,TN,37066,US,5551716587,Contoso,Information Technology
527174,Angelica,James,Angelica James,Angelica.James@contoso.com,527174,322 Grant Avenue,Martinsville,VA,24112,US,5556416335,Contoso,Logistics
298197,Janelle,Combs,Janelle Combs,Janelle.Combs@contoso.com,298197,859 Riverside Drive,Deland,FL,32720,US,5554902762,Contoso,IT Support
193763,Giovanni,Perkins,Giovanni Perkins,Giovanni.Perkins@contoso.com,193763,112 Front Street,San Lorenzo,CA,94580,US,5559413440,Contoso,Logistics
239808,Winston,Brewer,Winston Brewer,Winston.Brewer@contoso.com,239808,222 Bay Street,Lorain,OH,44052,US,5555227585,Contoso,Strategic Marketing
722553,Jaslyn,Schmitt,Jaslyn Schmitt,Jaslyn.Schmitt@contoso.com,722553,211 Sycamore Lane,Hanover Park,IL,60133,US,5559115037,Contoso,Operations
999435,Karley,Hopkins,Karley Hopkins,Karley.Hopkins@contoso.com,999435,683 River Street,Opa Locka,FL,33054,US,5555098423,Contoso,Strategic Marketing
239546,Aiden,Gutierrez,Aiden Gutierrez,Aiden.Gutierrez@contoso.com,239546,64 Circle Drive,New Britain,CT,6051,US,5555720859,Contoso,Purchasing
535436,Nevaeh,Marshall,Nevaeh Marshall,Nevaeh.Marshall@contoso.com,535436,653 Henry Street,Highland Park,IL,60035,US,5557623794,Contoso,IT Support
696690,Allyson,Molina,Allyson Molina,Allyson.Molina@contoso.com,696690,553 B Street,Freehold,NJ,7728,US,5554682748,Contoso,Recruitment
706532,Ryan,Peck,Ryan Peck,Ryan.Peck@contoso.com,706532,34 Woodland Avenue,Henrico,VA,23228,US,5558361390,Contoso,Human Resource
823008,Janiya,Rowland,Janiya Rowland,Janiya.Rowland@contoso.com,823008,722 Academy Street,Wilkes Barre,PA,18702,US,5553877222,Contoso,Telesales
441321,Vaughn,Meyer,Vaughn Meyer,Vaughn.Meyer@contoso.com,441321,859 Riverside Drive,Deland,FL,32720,US,5553452994,Contoso,IT Support
601200,Mercedes,Diaz,Mercedes Diaz,Mercedes.Diaz@contoso.com,601200,112 Front Street,San Lorenzo,CA,94580,US,5553606806,Contoso,Customer Service
585976,Armani,Stevens,Armani Stevens,Armani.Stevens@contoso.com,585976,506 College Street,Flushing,NY,11354,US,5551957658,Contoso,Information Technology
414922,Elena,Ingram,Elena Ingram,Elena.Ingram@contoso.com,414922,381 Lake Avenue,Ankeny,IA,50023,US,5552117400,Contoso,Strategic Marketing
733049,Brett,Joyce,Brett Joyce,Brett.Joyce@contoso.com,733049,683 River Street,Opa Locka,FL,33054,US,5551534486,Contoso,Corporate Communications
962280,Ashlynn,Snow,Ashlynn Snow,Ashlynn.Snow@contoso.com,962280,381 Lake Avenue,Ankeny,IA,50023,US,5553910980,Contoso,Marketing
763992,Javon,Villa,Javon Villa,Javon.Villa@contoso.com,763992,316 Clinton Street,Gallatin,TN,37066,US,5559390873,Contoso,Training
776756,Anthony,Grant,Anthony Grant,Anthony.Grant@contoso.com,776756,322 Grant Avenue,Martinsville,VA,24112,US,5551844696,Contoso,Sales
262746,Alexandria,Maddox,Alexandria Maddox,Alexandria.Maddox@contoso.com,262746,222 Bay Street,Lorain,OH,44052,US,5559543308,Contoso,Operations
181622,Clarissa,Bass,Clarissa Bass,Clarissa.Bass@contoso.com,181622,222 Bay Street,Lorain,OH,44052,US,5557577105,Contoso,Marketing
745892,Marcel,Jacobson,Marcel Jacobson,Marcel.Jacobson@contoso.com,745892,211 Sycamore Lane,Hanover Park,IL,60133,US,5556692415,Contoso,Recruitment
824374,Ramiro,Chavez,Ramiro Chavez,Ramiro.Chavez@contoso.com,824374,381 Lake Avenue,Ankeny,IA,50023,US,5558688963,Contoso,Account Management
